x,y,index1,income,high_income,hh_propensity,a,utility,max_fs_prop,healthy_choice,unhealthy_choice
136387.5,459037.5,0,42.31227486885041,1,0.8670710876469901,9.827654502860902e-05,24.599185008483268,0.2270450330833662,11.0,0.0
136787.5,459012.5,1,34.59129848105912,0,0.8675320808402159,-1.280175375471831e-05,2.180558931288874,0.2270450330833662,11.0,0.0
136812.5,459012.5,2,62.2077118700778,1,0.8686823782200103,-4.739717035364799e-05,1.7407293063898712,0.2270450330833662,11.0,0.0
136512.5,458987.5,3,35.37907870396923,0,0.8670338054610129,6.384572539894819e-06,2.067584617079616,0.2270450330833662,11.0,0.0
136487.5,458962.5,4,38.99609841578182,1,0.8683860305602213,-2.3402569348086828e-05,2.1895809830058615,0.2270450330833662,11.0,0.0
136212.5,458937.5,5,53.72481117061563,1,0.8685358505575357,-4.6942028478446596e-05,1.86802412612649,0.2270450330833662,11.0,0.0
136537.5,458937.5,6,28.80767595143758,0,0.8681024532280337,-5.141690862495754e-05,1.9777937342439502,0.2270450330833662,11.0,0.0
137062.5,458887.5,7,31.983633420697114,0,1.322544531819722,5.030056537746982e-05,2.154413605370256,0.2270450330833662,11.0,0.0
136512.5,458862.5,8,39.77603225837035,1,1.6938758602014923,-7.650318632998921e-05,1.701329992459613,0.594684417491655,11.0,0.0
136662.5,458862.5,9,34.60130042220641,0,1.6923717020680855,6.89547649040812e-05,1.4903920740827326,0.594684417491655,11.0,0.0
136787.5,458862.5,10,25.972353875781938,0,1.7457138625942608,4.902801139332745e-06,1.6999114408200025,0.594684417491655,11.0,0.0
137087.5,458837.5,11,35.851234894124126,0,1.7593672235029618,7.852922409644602e-07,1.919157319624011,0.594684417491655,11.0,0.0
136862.5,458762.5,12,34.311710529987565,0,1.762869066843033,-1.1264068644941584e-05,1.6304290064973999,0.594684417491655,11.0,0.0
135762.5,458737.5,13,43.934716026094954,1,1.7579940854776934,-1.4453277091052325e-05,3.5455820101325197,0.594684417491655,11.0,0.0
137462.5,458737.5,14,21.252114705283056,0,1.760475527396627,1.3725008385096404e-05,2.133053931230959,0.594684417491655,11.0,0.0
136137.5,458687.5,15,30.898209623100485,0,1.7573011622183747,-5.6603150588396584e-05,1.713849130192061,0.594684417491655,11.0,0.0
135787.5,458662.5,16,49.4139100948717,1,1.7640431458385342,-3.5159278776110317e-05,1.918468645782268,0.594684417491655,11.0,0.0
136112.5,458662.5,17,56.47331007231312,1,1.7791959118663996,8.11429347682707e-05,6.283908794127889,0.594684417491655,11.0,0.0
137037.5,458637.5,18,22.78820442311634,0,1.7812702958195,4.9312647799246636e-05,14.321454232635666,0.594684417491655,11.0,0.0
137287.5,458637.5,19,44.34847510892778,1,1.7785885643380872,8.873257587204652e-05,1.848902649733513,0.594684417491655,11.0,0.0
136212.5,458612.5,20,28.09392114781378,0,1.7761113369111865,3.8155507949844854e-05,2.61688623789822,0.594684417491655,11.0,0.0
136387.5,458587.5,21,29.331468452839097,0,1.769945616653506,8.796657252396512e-06,2.757447206588145,0.594684417491655,11.0,0.0
